,OFIPS,startRR,ONODE,ODIST
414,17113.0,103.0,17128.0,24.79150329
415,17139.0,103.0,17056.0,17.16296395
416,17145.0,103.0,17100.0,8.244805422
417,17147.0,103.0,17063.0,17.54957807
418,17177.0,103.0,17182.0,3.457234752
419,17179.0,103.0,17051.0,8.377981102
420,17199.0,103.0,17103.0,15.31699924
421,17201.0,103.0,17020.0,6.721866688
422,19023.0,103.0,19028.0,23.11661344
423,19025.0,103.0,19027.0,18.43752959
424,19061.0,103.0,19018.0,11.3893989
425,19083.0,103.0,19057.0,9.603649207
426,19093.0,103.0,19034.0,30.53079779
427,19131.0,103.0,27040.0,12.82156593
428,27047.0,103.0,27039.0,7.383240027
429,28083.0,103.0,28020.0,7.569255793
430,47045.0,103.0,47044.0,2.832579638
431,47131.0,103.0,47046.0,5.613326765
432,55087.0,103.0,55038.0,15.02270851
433,55109.0,103.0,27040.0,108.479502
434,55135.0,103.0,55038.0,30.44408104
435,27005.0,0.0,27017.0,11.55313562
436,27015.0,0.0,27028.0,19.82545808
437,27043.0,0.0,27029.0,10.8115819
438,27047.0,0.0,27033.0,2.172294842
439,27051.0,0.0,27043.0,17.58237838
440,27087.0,0.0,27019.0,25.24672129
441,27099.0,0.0,27034.0,10.84277192
442,27121.0,0.0,27016.0,6.476194884
443,27127.0,0.0,27015.0,27.09861139
444,27167.0,0.0,38030.0,9.825859153
445,29079.0,0.0,29034.0,42.45709516
446,38003.0,0.0,38034.0,27.81103806
447,38021.0,0.0,46003.0,40.18214668
448,38031.0,0.0,38039.0,11.95723411
449,38035.0,0.0,38013.0,7.290426466
450,38047.0,0.0,38040.0,47.86400155
451,38051.0,0.0,46012.0,63.98494702
452,38073.0,0.0,38031.0,35.71999574
453,38081.0,0.0,46003.0,19.18099738
454,38093.0,0.0,38040.0,12.5597009
455,46109.0,0.0,27014.0,12.17069695
456,55021.0,0.0,55003.0,7.763888757
457,17065.0,155.0,17106.0,1.190819487
458,17189.0,155.0,17105.0,19.81032981
459,26073.0,0.0,26062.0,31.38062983
460,47053.0,258.0,47009.0,10.96499713
461,47131.0,258.0,21017.0,18.45547762
462,47183.0,258.0,21017.0,17.69327688
463,19001.0,316.0,19002.0,49.44813245
464,19029.0,316.0,19026.0,48.97765567
465,19049.0,316.0,19049.0,24.62835637
466,19099.0,316.0,19049.0,28.10082254
467,19121.0,316.0,19002.0,28.48746984
468,19153.0,316.0,19049.0,6.609184909
469,19155.0,316.0,19026.0,17.58908364
470,19157.0,316.0,19009.0,33.02611328
471,38017.0,321.0,38001.0,2.395770785
472,38021.0,321.0,38040.0,56.07911937
473,38045.0,321.0,38040.0,32.36315649
474,38073.0,321.0,38001.0,36.89022094
475,38077.0,321.0,38030.0,15.40162665
476,38081.0,321.0,38030.0,49.39067744
477,17125.0,361.0,17039.0,8.385991281
478,17129.0,361.0,17012.0,7.862798848
479,17137.0,400.0,17124.0,1.662470052
480,20005.0,400.0,20047.0,9.616798929
481,20037.0,400.0,20040.0,10.97053438
482,20133.0,400.0,20040.0,35.12226607
483,20177.0,400.0,20010.0,4.903100696
484,20205.0,400.0,20040.0,58.48081502
485,22083.0,400.0,22003.0,20.74134644
486,29007.0,400.0,29061.0,3.921959826
487,29089.0,400.0,29062.0,43.30118449
488,29095.0,400.0,29039.0,10.17410571
489,29107.0,400.0,29016.0,33.2001821
490,29195.0,400.0,29015.0,52.89312207
491,40079.0,400.0,40023.0,5.767571658
492,26011.0,438.0,26059.0,17.69532511
493,26145.0,438.0,26004.0,9.464072012
494,18081.0,434.0,18051.0,17.53198548
495,36093.0,490.0,36016.0,3.909116709
496,25013.0,496.0,25002.0,15.55630933
497,1103.0,555.0,1041.0,13.41887948
498,17019.0,555.0,17063.0,11.29331834
499,17021.0,555.0,17036.0,1.26903493
500,17047.0,555.0,18009.0,26.60504925
501,17053.0,555.0,17127.0,12.18437029
502,17091.0,555.0,17080.0,0.618263363
503,17105.0,555.0,17079.0,16.25406167
504,17113.0,555.0,17095.0,8.518376749
505,17147.0,555.0,17082.0,6.18412387
506,17149.0,555.0,29025.0,14.78898007
507,17171.0,555.0,17124.0,14.96832686
508,17183.0,555.0,17062.0,6.919739795
509,18003.0,555.0,18022.0,1.58159832
510,18009.0,555.0,18030.0,18.15903911
511,18015.0,555.0,18083.0,15.97054866
512,18017.0,555.0,18083.0,0.943651547
513,18023.0,555.0,18024.0,2.626771281
514,18033.0,555.0,18006.0,6.719570561
515,18035.0,555.0,18014.0,2.799326384
516,18045.0,555.0,17062.0,19.79725695
517,18067.0,555.0,18083.0,22.02972375
518,18075.0,555.0,18014.0,26.81854075
519,18087.0,555.0,18028.0,22.02842991
520,18091.0,555.0,18078.0,17.67751953
521,18095.0,555.0,18018.0,4.631039823
522,18097.0,555.0,18066.0,1.28935266
523,18103.0,555.0,18029.0,12.64093571
524,18113.0,555.0,18004.0,22.32877107
525,18127.0,555.0,18071.0,2.665275482
526,18141.0,555.0,18068.0,3.928279925
527,18159.0,555.0,18025.0,19.93814139
528,18169.0,555.0,18029.0,2.852569221
529,18171.0,555.0,17062.0,19.87648992
530,18183.0,555.0,18003.0,15.86607605
531,19153.0,555.0,19049.0,6.609184911
532,21049.0,555.0,21008.0,20.90308766
533,26059.0,555.0,26023.0,26.73215581
534,26091.0,555.0,39093.0,22.81254735
535,26115.0,555.0,26067.0,5.477330578
536,26149.0,555.0,26016.0,5.4024174
537,26159.0,555.0,26025.0,36.64062337
538,26161.0,555.0,26012.0,11.90503039
