,ID,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
1894,42087,42037,42041,2.54531,3.054372,258.0,0.001262,10.815793,10.0,0,0,4,1,555,0,0,0,0,0,0,0
1895,42088,42007,42042,5.39608,8.09412,129.0,0.002525,21.631586,25.0,0,1,3,1,555,0,0,0,0,0,0,0
1896,42089,42003,42002,7.14725,8.5767,258.0,0.001262,10.815793,10.0,0,0,4,1,555,0,0,0,0,0,0,0
1897,42090,42042,42003,4.98363,7.475445,129.0,0.002525,21.631586,25.0,0,1,3,1,555,0,0,0,0,0,0,0
1898,42091,42003,42041,6.85134,10.27701,129.0,0.002525,21.631586,25.0,0,1,3,1,555,0,0,0,0,0,0,0
1899,1054,1026,1031,40.74721,90.5493555556,9.9,0.032873,21.631586,25.0,0,4,2,1,555,0,0,0,0,0,0,0
1900,48069,48053,48038,27.2567,46.7257714286,31.0,0.010519,21.631586,25.0,0,0,1,2,802,777,0,0,0,0,0,0
1901,48070,48038,48090,10.15589,15.233835,13.0,0.033698,15.758774,25.0,0,0,2,2,802,777,0,0,0,0,0,0
1902,17183,17138,17055,3.94824,9.475776,258.0,0.001262,10.815793,10.0,0,0,4,6,83,712,555,777,103,105,0,0
1903,19015,19004,19055,4.27727,36.6623142857,43.0,0.007574,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1904,19016,19056,19055,0.11007,0.22014,43.0,0.007574,21.631586,25.0,0,0,2,3,777,802,103,0,0,0,0,0
1905,17184,17056,17076,26.37618,31.651416,43.0,0.007574,21.631586,25.0,0,1,2,1,103,0,0,0,0,0,0,0
1906,17185,17056,17181,40.19838,80.39676,8.3,0.052654,15.758774,25.0,0,0,2,1,103,0,0,0,0,0,0,0
1907,48071,48126,48084,4.53266,13.59798,108.0,0.004044,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1908,42092,42064,42050,111.38632,133.663584,258.0,0.001262,10.815793,10.0,0,1,4,1,555,0,0,0,0,0,0,0
1909,29081,29044,17072,36.98481,44.381772,51.6,0.006312,21.631586,25.0,0,1,2,2,802,777,0,0,0,0,0,0
1910,42093,42060,42047,43.50712,65.26068,102.0,0.003338,23.200626,32.5,0,2,3,2,712,856,0,0,0,0,0,0
1911,39156,39119,39072,8.9673,17.9346,129.0,0.002525,21.631586,25.0,0,1,3,1,555,0,0,0,0,0,0,0
1912,39157,39119,39004,6.02018,12.04036,129.0,0.002525,21.631586,25.0,0,0,3,1,555,0,0,0,0,0,0,0
